licenseNumber,licenseType,businessName,city,county,zip,phone,endorsementText,origRegisDate,status,gmbName,gmbAddress,gmbPhone,gmbWebsite,gmbRating,gmbReviews,gmbCategory,gmbMapsUrl,gmbExtra,processedAt,_outFile
259602,RGC,DAVID LEE ARIAS,PORTLAND,Multnomah,87825,5034904213,Residential General Contractor,01/08/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Portland(0.00),2026-09-06T20:30:01.641Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259607,RSC,CROOKED RIVER DEFENSIBLE SPACE AND PROPERTY CARE LLC,CULVER,Jefferson,97734,5414602178,Residential Specialty Contractor,01/20/2026,GMB Found - Website Available,Crooked River Defensible Space and Property Care LLC,,+1 541-460-2178,https://www.crookedriverdspc.com/,,2,Landscaper,"https://www.google.com/maps/place/Crooked+River+Defensible+Space+and+Property+Care+LLC/@44.4121285,-121.111957,9z/data=!3m1!4b1!4m6!3m5!1s0x2615872c27966c45:0x424cf92a3eb304d1!8m2!3d44.4121285!4d-121.111957!16s%2Fg%2F11z4p_lxbj?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJRWyWJyyHFSYR0QSzPir5TEI,2026-09-06T20:30:22.128Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259609,RGC,JARED HAMILTON GIROUX,ALBANY,Linn,97322,4582782451,Residential General Contractor,01/06/2026,New Registration - No GMB,,,,,,,,,,2026-09-06T20:31:02.668Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259610,CSC1,OX CONCRETE LLC,PORTLAND,Multnomah,97232,5032831884,Commercial Specialty Contractor Level 1,01/21/2026,GMB Found - Website Available,AC Concrete Solutions,,+1 503-200-9698,http://www.acconcreto.com/,,42,Concrete contractor,https://www.google.com/maps/place/AC+Concrete+Solutions/data=!4m7!3m6!1s0x69d1ecda2db493ad:0x146448d53bc5a7c9!8m2!3d45.42057!4d-122.5956699!16s%2Fg%2F11qbhtdhzb!19sChIJrZO0Ldrs0WkRyafFO9VIZBQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1,place_id:ChIJrZO0Ldrs0WkRyafFO9VIZBQ,2026-09-06T20:31:43.323Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259611,RGC,TMT3 LLC,BEND,Deschutes,97707,4582181862,Residential General Contractor,01/27/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Deschutes gutter company(0.00),2026-09-06T20:33:04.391Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259614,RGC,RED HAVEN CONSTRUCTION LLC,ROGUE RIVER,Josephine,97537,5412189994,Residential General Contractor,01/05/2026,GMB Found - Website Available,New Haven Construction,"1192 Lydia Ave N, Salem, OR 97303, United States",+1 971-338-8563,https://www.ccblookup.com/contractor/new-haven-construction-258137/,,12,Contractor,"https://www.google.com/maps/place/New+Haven+Construction/@45.001418,-123.0447079,17z/data=!3m1!4b1!4m6!3m5!1s0x549555f0b7fd8507:0x7c0e5eeebaacd919!8m2!3d45.001418!4d-123.0447079!16s%2Fg%2F11m_53p412?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJB4X9t_BVlVQRGdmsuu5eDnw,2026-09-06T20:33:44.969Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259619,CGC1,TOTAL CLIMATE LLC,MEDFORD,Jackson,97501,5419302360,Commercial General Contractor Level 1,01/07/2026,GMB Found - Website Available,Total Climate LLC,,+1 541-613-5913,https://totalclimatellc.com/,,17,HVAC contractor,"https://www.google.com/maps/place/Total+Climate+LLC/@42.356311,-123.0762225,11z/data=!3m1!4b1!4m6!3m5!1s0x85ab920821f8184b:0xcb8da47f58ba9db5!8m2!3d42.356311!4d-123.0762225!16s%2Fg%2F11yy4ghqvp?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJSxj4IQiSq4URtZ26WH-kjcs,2026-09-06T20:34:05.446Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259620,RGC,D THOMPSON LLC,SEASIDE,Clatsop,97138,7143693450,Residential General Contractor,01/13/2026,GMB Found - Website Available,Carolyn D. Thompson CPA LLC,"340 N Front St, Coos Bay, OR 97420, United States",+1 541-269-2711,https://www.facebook.com/Carolyn-D-Thompson-CPA-LLC-520859521405029,,2,Certified public accountant,"https://www.google.com/maps/place/Carolyn+D.+Thompson+CPA+LLC/@43.3701393,-124.2114995,17z/data=!3m1!4b1!4m6!3m5!1s0x54c3842a646166fb:0x940ad346ecaf86c1!8m2!3d43.3701393!4d-124.2114995!16s%2Fg%2F11bwc748dr?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJ-2ZhZCqEw1QRwYav7EbTCpQ,2026-09-06T20:35:06.530Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259621,RLC,ARVELLA MARIE CALISTA,LOSTINE,Wallowa,97857,5413988786,Residential Limited Contractor,01/05/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Lostine(0.00),2026-09-06T20:35:27.021Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259622,RGC,ITS ELECTRIC LLC,ALBANY,Linn,97321,5417458399,Residential General Contractor,02/02/2026,GMB Found - Website Available,ITS ELECTRICAL LLC,,+1 240-477-2359,http://www.itselectricalllc.com/,,47,Electrical installation service,"https://www.google.com/maps/place/ITS+ELECTRICAL+LLC/@39.135499,-77.2147016,13z/data=!3m1!4b1!4m6!3m5!1s0x497c3dbaf62c6357:0xb4d76e5ba6784ead!8m2!3d39.135499!4d-77.2147016!16s%2Fg%2F11p0ztmwd8?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJV2Ms9ro9fEkRrU54pltu17Q,2026-09-06T20:36:07.553Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
